"Maintenance","Техническое обслуживание"
"Service is temporary unavailable","Сервис временно недоступен"
"The site is down due to maintenance servicing and will return to work soon.","Сайт не доступен из-за технического обслуживания и вернется к работе в ближайшее время."
"Internal error","Ошибка"
"An internal error occurred during loading this page","При загрузке страницы случилась ошибка"
"Details are hidden due to security reasons and can be found in log files.","Детали были сокрыты из соображений безопасности и доступны в лог файлах."
"Page Not Found","Страница не найдена"
"Seems, page you are looking for is not present","Похоже, страница, которую вы пытаетесь найти, не существует"
"Try Homepage","На Главную"
"Unauthorized","Ошибка авторизации"
"Request's authorization was not correct","Авторизация запроса прошла некоректно"
"Please, check it and try to reload the page.","Пожалуйста, проверьте его и попробуйте перезагрузить страницу."
"All rights reserved","Все права защищены"
