"Set time range (minutes):","Установить интервал (минуты):"
"Minimum random time input value","Минимальное время для случайного интервала"
"Maximum random time input value","Максимальное время для случайного интервала"
"Hide random time","Не отображать случайное время"
"Show loader on run","Показывать анимацию отсчета"
"Reset","Сбросить"
"Apply","Применить"
"Play","Воспроизвести"
"Pause","Остановить"
"Show hint","Показать подсказку"
"Instruction","Инструкция"
"Rules are simple: when time is over, you have to drink.","Правила просты: когда выходит время, вы должны пить."
"Big red button in the center will start or stop the timer. Circular slider will help you to set up the time. And ""Random"" button.. will give you a random time left.","Большая красная кнопка в центре запустит или остановит таймер. Круговой слайдер поможет выставить время. А ""Случайная"" кнопка.. установит вам случайное время."
"Time interval can be configured in the menu, check the left-top corner of the page.","Временной интервал можно настроить в меню, проверьте левый верхний угол страницы."
"Got it!","Понятно!"
"Settings were applied","Настройки были применены"
"It time to start!","Пора начинать!"
